username,repo_name,stars,repo_url
sindresorhus,awesome,404000,https://github.com/sindresorhus/awesome
vinta,awesome-python,262000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,250000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,188000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,154000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,130000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,98800,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,98500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,89000,https://github.com/jaywcjlove/awesome-mac
MunGell,awesome-for-beginners,78200,https://github.com/MunGell/awesome-for-beginners
DopplerHQ,awesome-interview-questions,77500,https://github.com/DopplerHQ/awesome-interview-questions
enaqx,awesome-react,70100,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,66800,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,65700,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,63300,https://github.com/prakhar1989/awesome-courses
sindresorhus,awesome-nodejs,63000,https://github.com/sindresorhus/awesome-nodejs
Solido,awesome-flutter,57400,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,54000,https://github.com/wasabeef/awesome-android-ui
rust-unofficial,awesome-rust,52900,https://github.com/rust-unofficial/awesome-rust
tiimgreen,github-cheat-sheet,52700,https://github.com/tiimgreen/github-cheat-sheet
