username,repo_name,stars,repo_url
twbs,bootstrap,173000,https://github.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,125000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,119000,https://github.com/electron/electron
microsoft,Web-Dev-For-Beginners,92100,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,90400,https://github.com/tailwindlabs/tailwindcss
florinpop17,app-ideas,86200,https://github.com/florinpop17/app-ideas
animate-css,animate.css,82300,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,75700,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,71400,https://github.com/thedaviddias/Front-End-Checklist
juliangarnier,anime,64500,https://github.com/juliangarnier/anime
h5bp,html5-boilerplate,57200,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,53500,https://github.com/necolas/normalize.css
prettier,prettier,51000,https://github.com/prettier/prettier
jgthms,bulma,50000,https://github.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,45300,https://github.com/Asabeneh/30-Days-Of-JavaScript
ColorlibHQ,AdminLTE,45100,https://github.com/ColorlibHQ/AdminLTE
vercel,hyper,44400,https://github.com/vercel/hyper
parcel-bundler,parcel,44000,https://github.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,43600,https://github.com/yangshun/front-end-interview-handbook
styled-components,styled-components,41000,https://github.com/styled-components/styled-components
