username,repo_name,stars,repo_url
electron,electron,119000,https://github.com/electron/electron
puppeteer,puppeteer,92500,https://github.com/puppeteer/puppeteer
microsoft,playwright,77700,https://github.com/microsoft/playwright
FiloSottile,mkcert,56700,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,34600,https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,28900,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,23100,https://github.com/ovity/octotree
segment-boneyard,nightmare,19900,https://github.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,19200,https://github.com/gildas-lormeau/SingleFile
GoogleChrome,chrome-extensions-samples,16900,https://github.com/GoogleChrome/chrome-extensions-samples
xifangczy,cat-catch,15900,https://github.com/xifangczy/cat-catch
checkly,headless-recorder,15200,https://github.com/checkly/headless-recorder
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
moonD4rk,HackBrowserData,13000,https://github.com/moonD4rk/HackBrowserData
crimx,ext-saladict,12800,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,12800,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,12300,https://github.com/chromedp/chromedp
casesandberg,react-color,12200,https://github.com/casesandberg/react-color
ajayyy,SponsorBlock,12100,https://github.com/ajayyy/SponsorBlock
