username,repo_name,stars,repo_url
realm,SwiftLint,19200,https://github.com/realm/SwiftLint
facebook,infer,15400,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,14100,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,13900,https://github.com/federico-busato/Modern-CPP-Programming
keploy,keploy,11100,https://github.com/keploy/keploy
Kristories,awesome-guidelines,10300,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,10100,https://github.com/super-linter/super-linter
SonarSource,sonarqube,9900,https://github.com/SonarSource/sonarqube
reviewdog,reviewdog,8700,https://github.com/reviewdog/reviewdog
checkstyle,checkstyle,8700,https://github.com/checkstyle/checkstyle
facebook,pyre-check,7100,https://github.com/facebook/pyre-check
detekt,detekt,6700,https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,6100,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5800,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5600,https://github.com/pylint-dev/pylint
pmd,pmd,5200,https://github.com/pmd/pmd
kucherenko,jscpd,5000,https://github.com/kucherenko/jscpd
simplecov-ruby,simplecov,4900,https://github.com/simplecov-ruby/simplecov
phpro,grumphp,4200,https://github.com/phpro/grumphp
facebook,pyrefly,3800,https://github.com/facebook/pyrefly
