username,repo_name,stars,repo_url
vercel,next.js,135000,https://github.com/vercel/next.js
rust-lang,rust,107000,https://github.com/rust-lang/rust
sveltejs,svelte,84300,https://github.com/sveltejs/svelte
webpack,webpack,65700,https://github.com/webpack/webpack
FuelLabs,sway,62100,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55900,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,51400,https://github.com/JetBrains/kotlin
typst,typst,46400,https://github.com/typst/typst
parcel-bundler,parcel,44000,https://github.com/parcel-bundler/parcel
babel,babel,43700,https://github.com/babel/babel
ziglang,zig,41400,https://github.com/ziglang/zig
evanw,esbuild,39400,https://github.com/evanw/esbuild
vlang,v,36700,https://github.com/vlang/v
markedjs,marked,35700,https://github.com/markedjs/marked
carbon-language,carbon-lang,33300,https://github.com/carbon-language/carbon-lang
swc-project,swc,32800,https://github.com/swc-project/swc
v8,v8,24500,https://github.com/v8/v8
vercel,pkg,24400,https://github.com/vercel/pkg
oracle,graal,21100,https://github.com/oracle/graal
RustPython,RustPython,20600,https://github.com/RustPython/RustPython
