username,repo_name,stars,repo_url
supabase,supabase,89400,https://github.com/supabase/supabase
netdata,netdata,76300,https://github.com/netdata/netdata
redis,redis,71100,https://github.com/redis/redis
meilisearch,meilisearch,53400,https://github.com/meilisearch/meilisearch
etcd-io,etcd,50500,https://github.com/etcd-io/etcd
dbeaver,dbeaver,45600,https://github.com/dbeaver/dbeaver
LeCoupa,awesome-cheatsheets,44400,https://github.com/LeCoupa/awesome-cheatsheets
metabase,metabase,43900,https://github.com/metabase/metabase
prisma,prisma,43900,https://github.com/prisma/prisma
ClickHouse,ClickHouse,43100,https://github.com/ClickHouse/ClickHouse
pingcap,tidb,39100,https://github.com/pingcap/tidb
QuivrHQ,quivr,38500,https://github.com/QuivrHQ/quivr
huihut,interview,36900,https://github.com/huihut/interview
SheetJS,sheetjs,35900,https://github.com/SheetJS/sheetjs
typeorm,typeorm,35800,https://github.com/typeorm/typeorm
sqlmapproject,sqlmap,35400,https://github.com/sqlmapproject/sqlmap
duckdb,duckdb,33100,https://github.com/duckdb/duckdb
directus,directus,32700,https://github.com/directus/directus
cockroachdb,cockroach,31300,https://github.com/cockroachdb/cockroach
facebook,rocksdb,30700,https://github.com/facebook/rocksdb
