username,repo_name,stars,repo_url
facebook,react,239000,https://github.com/facebook/react
vuejs,vue,210000,https://github.com/vuejs/vue
vitejs,vite,75600,https://github.com/vitejs/vite
thedaviddias,Front-End-Checklist,71400,https://github.com/thedaviddias/Front-End-Checklist
ionic-team,ionic-framework,52100,https://github.com/ionic-team/ionic-framework
dypsilon,frontend-dev-bookmarks,45000,https://github.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,44400,https://github.com/LeCoupa/awesome-cheatsheets
expo,expo,43800,https://github.com/expo/expo
NaiboWang,EasySpider,42700,https://github.com/NaiboWang/EasySpider
GitHubDaily,GitHubDaily,42300,https://github.com/GitHubDaily/GitHubDaily
QuivrHQ,quivr,38500,https://github.com/QuivrHQ/quivr
fastapi,full-stack-fastapi-template,38100,https://github.com/fastapi/full-stack-fastapi-template
xitu,gold-miner,34300,https://github.com/xitu/gold-miner
CorentinTh,it-tools,33100,https://github.com/CorentinTh/it-tools
mouredev,Hello-Python,32200,https://github.com/mouredev/Hello-Python
ascoders,weekly,30500,https://github.com/ascoders/weekly
haizlin,fe-interview,26100,https://github.com/haizlin/fe-interview
Dokploy,dokploy,25200,https://github.com/Dokploy/dokploy
iview,iview,23900,https://github.com/iview/iview
onlook-dev,onlook,22800,https://github.com/onlook-dev/onlook
