username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,429000,https://github.com/freeCodeCamp/freeCodeCamp
practical-tutorials,project-based-learning,245000,https://github.com/practical-tutorials/project-based-learning
facebook,react,239000,https://github.com/facebook/react
vuejs,vue,210000,https://github.com/vuejs/vue
trekhleb,javascript-algorithms,193000,https://github.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,183000,https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,173000,https://github.com/twbs/bootstrap
airbnb,javascript,148000,https://github.com/airbnb/javascript
Chalarangelo,30-seconds-of-code,125000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,119000,https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,115000,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,114000,https://github.com/nodejs/node
mrdoob,three.js,109000,https://github.com/mrdoob/three.js
axios,axios,108000,https://github.com/axios/axios
microsoft,TypeScript,106000,https://github.com/microsoft/TypeScript
denoland,deno,105000,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,104000,https://github.com/goldbergyoni/nodebestpractices
angular,angular,99000,https://github.com/angular/angular
ryanmcdermott,clean-code-javascript,93900,https://github.com/ryanmcdermott/clean-code-javascript
microsoft,Web-Dev-For-Beginners,92100,https://github.com/microsoft/Web-Dev-For-Beginners
