username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,429000,https://github.com/freeCodeCamp/freeCodeCamp
Chalarangelo,30-seconds-of-code,125000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,119000,https://github.com/electron/electron
nodejs,node,114000,https://github.com/nodejs/node
axios,axios,108000,https://github.com/axios/axios
goldbergyoni,nodebestpractices,104000,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,87200,https://github.com/nvm-sh/nvm
oven-sh,bun,80700,https://github.com/oven-sh/bun
immich-app,immich,78100,https://github.com/immich-app/immich
nestjs,nest,72900,https://github.com/nestjs/nest
strapi,strapi,69800,https://github.com/strapi/strapi
expressjs,express,67800,https://github.com/expressjs/express
leonardomso,33-js-concepts,65700,https://github.com/leonardomso/33-js-concepts
sindresorhus,awesome-nodejs,63000,https://github.com/sindresorhus/awesome-nodejs
socketio,socket.io,62500,https://github.com/socketio/socket.io
openinterpreter,open-interpreter,60600,https://github.com/openinterpreter/open-interpreter
laurent22,joplin,51600,https://github.com/laurent22/joplin
TryGhost,Ghost,50800,https://github.com/TryGhost/Ghost
coollabsio,coolify,45800,https://github.com/coollabsio/coolify
Asabeneh,30-Days-Of-JavaScript,45300,https://github.com/Asabeneh/30-Days-Of-JavaScript
