username,repo_name,stars,repo_url
AppFlowy-IO,AppFlowy,65800,https://github.com/AppFlowy-IO/AppFlowy
makeplane,plane,39100,https://github.com/makeplane/plane
frappe,erpnext,29300,https://github.com/frappe/erpnext
mattermost-community,focalboard,25100,https://github.com/mattermost-community/focalboard
hcengineering,platform,23200,https://github.com/hcengineering/platform
nocobase,nocobase,16800,https://github.com/nocobase/nocobase
joelparkerhenderson,architecture-decision-record,14100,https://github.com/joelparkerhenderson/architecture-decision-record
opf,openproject,12800,https://github.com/opf/openproject
plankanban,planka,10700,https://github.com/plankanban/planka
kanboard,kanboard,9200,https://github.com/kanboard/kanboard
Leantime,leantime,8300,https://github.com/Leantime/leantime
kuaifan,dootask,5300,https://github.com/kuaifan/dootask
automazeio,ccpm,5000,https://github.com/automazeio/ccpm
JordanKnott,taskcafe,4800,https://github.com/JordanKnott/taskcafe
mark-when,markwhen,4700,https://github.com/mark-when/markwhen
bbatsov,projectile,4100,https://github.com/bbatsov/projectile
freeplane,freeplane,3500,https://github.com/freeplane/freeplane
ever-co,ever-gauzy,3200,https://github.com/ever-co/ever-gauzy
gdcmarinho,awesome-project,3200,https://github.com/gdcmarinho/awesome-project
ONLYOFFICE,CommunityServer,3000,https://github.com/ONLYOFFICE/CommunityServer
