username,repo_name,stars,repo_url
donnemartin,system-design-primer,322000,https://github.com/donnemartin/system-design-primer
vinta,awesome-python,262000,https://github.com/vinta/awesome-python
practical-tutorials,project-based-learning,245000,https://github.com/practical-tutorials/project-based-learning
TheAlgorithms,Python,210000,https://github.com/TheAlgorithms/Python
tensorflow,tensorflow,192000,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,182000,https://github.com/CyC2018/CS-Notes
Significant-Gravitas,AutoGPT,179000,https://github.com/Significant-Gravitas/AutoGPT
huggingface,transformers,151000,https://github.com/huggingface/transformers
521xueweihan,HelloGitHub,130000,https://github.com/521xueweihan/HelloGitHub
yt-dlp,yt-dlp,129000,https://github.com/yt-dlp/yt-dlp
langchain-ai,langchain,117000,https://github.com/langchain-ai/langchain
langgenius,dify,116000,https://github.com/langgenius/dify
justjavac,free-programming-books-zh_CN,115000,https://github.com/justjavac/free-programming-books-zh_CN
nvbn,thefuck,94200,https://github.com/nvbn/thefuck
pytorch,pytorch,93600,https://github.com/pytorch/pytorch
fastapi,fastapi,90300,https://github.com/fastapi/fastapi
comfyanonymous,ComfyUI,89800,https://github.com/comfyanonymous/ComfyUI
django,django,85300,https://github.com/django/django
home-assistant,core,81700,https://github.com/home-assistant/core
3b1b,manim,80900,https://github.com/3b1b/manim
