username,repo_name,stars,repo_url
facebook,react-native,124000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,115000,https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,87900,https://github.com/storybookjs/storybook
enaqx,awesome-react,70100,https://github.com/enaqx/awesome-react
appwrite,appwrite,52900,https://github.com/appwrite/appwrite
laurent22,joplin,51600,https://github.com/laurent22/joplin
dkhamsing,open-source-ios-apps,46800,https://github.com/dkhamsing/open-source-ios-apps
react-hook-form,react-hook-form,43900,https://github.com/react-hook-form/react-hook-form
expo,expo,43800,https://github.com/expo/expo
sudheerj,reactjs-interview-questions,43100,https://github.com/sudheerj/reactjs-interview-questions
NervJS,taro,37000,https://github.com/NervJS/taro
typeorm,typeorm,35800,https://github.com/typeorm/typeorm
jondot,awesome-react-native,35400,https://github.com/jondot/awesome-react-native
jaredpalmer,formik,34300,https://github.com/jaredpalmer/formik
mattermost,mattermost,34000,https://github.com/mattermost/mattermost
vercel,swr,32000,https://github.com/vercel/swr
react-native-elements,react-native-elements,25600,https://github.com/react-native-elements/react-native-elements
react-navigation,react-navigation,24200,https://github.com/react-navigation/react-navigation
zulip,zulip,23500,https://github.com/zulip/zulip
pubkey,rxdb,22700,https://github.com/pubkey/rxdb
