username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,429000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,239000,https://github.com/facebook/react
vercel,next.js,135000,https://github.com/vercel/next.js
facebook,react-native,124000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,115000,https://github.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,104000,https://github.com/facebook/create-react-app
mui,material-ui,96700,https://github.com/mui/material-ui
ant-design,ant-design,96200,https://github.com/ant-design/ant-design
shadcn-ui,ui,95700,https://github.com/shadcn-ui/ui
storybookjs,storybook,87900,https://github.com/storybookjs/storybook
ChatGPTNextWeb,NextChat,86000,https://github.com/ChatGPTNextWeb/NextChat
oven-sh,bun,80700,https://github.com/oven-sh/bun
enaqx,awesome-react,70100,https://github.com/enaqx/awesome-react
apache,superset,68300,https://github.com/apache/superset
leonardomso,33-js-concepts,65700,https://github.com/leonardomso/33-js-concepts
facebook,docusaurus,62000,https://github.com/facebook/docusaurus
gatsbyjs,gatsby,55900,https://github.com/gatsbyjs/gatsby
pmndrs,zustand,54900,https://github.com/pmndrs/zustand
appwrite,appwrite,52900,https://github.com/appwrite/appwrite
ionic-team,ionic-framework,52100,https://github.com/ionic-team/ionic-framework
