username,repo_name,stars,repo_url
apache,spark,42000,https://github.com/apache/spark
apache,kafka,31000,https://github.com/apache/kafka
apache,flink,25300,https://github.com/apache/flink
lichess-org,lila,17200,https://github.com/lichess-org/lila
heibaiying,BigData-Notes,16700,https://github.com/heibaiying/BigData-Notes
scala,scala,14400,https://github.com/scala/scala
deeplearning4j,deeplearning4j,14100,https://github.com/deeplearning4j/deeplearning4j
playframework,playframework,12600,https://github.com/playframework/playframework
apache,predictionio,12500,https://github.com/apache/predictionio
yahoo,CMAK,11900,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,11400,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,10500,https://github.com/kanaka/mal
lk-geimfari,awesomo,9700,https://github.com/lk-geimfari/awesomo
gitbucket,gitbucket,9300,https://github.com/gitbucket/gitbucket
lauris,awesome-scala,9200,https://github.com/lauris/awesome-scala
twitter,finagle,8800,https://github.com/twitter/finagle
gatling,gatling,6800,https://github.com/gatling/gatling
Angel-ML,angel,6800,https://github.com/Angel-ML/angel
apache,zeppelin,6600,https://github.com/apache/zeppelin
nteract,papermill,6300,https://github.com/nteract/papermill
