username,repo_name,stars,repo_url
microsoft,vscode,177000,https://github.com/microsoft/vscode
n8n-io,n8n,144000,https://github.com/n8n-io/n8n
microsoft,TypeScript,106000,https://github.com/microsoft/TypeScript
denoland,deno,105000,https://github.com/denoland/deno
angular,angular,99000,https://github.com/angular/angular
ant-design,ant-design,96200,https://github.com/ant-design/ant-design
storybookjs,storybook,87900,https://github.com/storybookjs/storybook
mermaid-js,mermaid,83200,https://github.com/mermaid-js/mermaid
oven-sh,bun,80700,https://github.com/oven-sh/bun
immich-app,immich,78100,https://github.com/immich-app/immich
unionlabs,union,74600,https://github.com/unionlabs/union
nestjs,nest,72900,https://github.com/nestjs/nest
enaqx,awesome-react,70100,https://github.com/enaqx/awesome-react
strapi,strapi,69800,https://github.com/strapi/strapi
ionic-team,ionic-framework,52100,https://github.com/ionic-team/ionic-framework
prettier,prettier,51000,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,50500,https://github.com/DefinitelyTyped/DefinitelyTyped
TanStack,query,46800,https://github.com/TanStack/query
typescript-cheatsheets,react,46700,https://github.com/typescript-cheatsheets/react
type-challenges,type-challenges,46600,https://github.com/type-challenges/type-challenges
