username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,104000,https://github.com/goldbergyoni/nodebestpractices
oven-sh,bun,80700,https://github.com/oven-sh/bun
meteor,meteor,44700,https://github.com/meteor/meteor
yarnpkg,yarn,41600,https://github.com/yarnpkg/yarn
lerna,lerna,36000,https://github.com/lerna/lerna
pnpm,pnpm,32800,https://github.com/pnpm/pnpm
honojs,hono,26500,https://github.com/honojs/hono
renovatebot,renovate,19800,https://github.com/renovatebot/renovate
apify,crawlee,19600,https://github.com/apify/crawlee
marticliment,UniGetUI,18600,https://github.com/marticliment/UniGetUI
verdaccio,verdaccio,17200,https://github.com/verdaccio/verdaccio
jaywcjlove,reference,14500,https://github.com/jaywcjlove/reference
jaredpalmer,tsdx,11400,https://github.com/jaredpalmer/tsdx
raineorshine,npm-check-updates,10000,https://github.com/raineorshine/npm-check-updates
astrit,css.gg,9900,https://github.com/astrit/css.gg
npm,cli,9200,https://github.com/npm/cli
voidcosmos,npkill,8900,https://github.com/voidcosmos/npkill
release-it,release-it,8700,https://github.com/release-it/release-it
miniMAC,magic,8600,https://github.com/miniMAC/magic
tsparticles,tsparticles,8500,https://github.com/tsparticles/tsparticles
